UMGS_ID	MAG_ID	Phylum	Class	Order	Family	Genus
UMGS934	ERR1912962_bin.10	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS935	SRR5050584_bin.5	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter
UMGS937	ERR414261_bin.22	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS938	SRR2912788_bin.13	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS939	ERR1620320_bin.15	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus
UMGS940	ERR011169_bin.3	Tenericutes	Mollicutes	NA	NA	NA
UMGS941	ERR1190721_bin.6	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
UMGS942	SRR3992965_bin.53	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS943	SRR5127406_bin.8	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS944	ERR1190861_bin.8	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS945	ERR1620269_bin.39	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS946	SRR5580036_bin.60	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS947	SRR1196456_bin.17	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS948	ERR1190648_bin.39	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS949	ERR321393_bin.28	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS950	ERR589442_bin.16	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS951	SRR3108079_bin.43	NA	NA	NA	NA	NA
UMGS953	ERR505084_bin.17	Verrucomicrobia	Opitutae	Opitutales	NA	NA
UMGS954	ERR1190562_bin.24	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS955	SRR5558121_bin.13	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
